Date,AAPL,MSFT
2021-06-28,131.37704467773438,257.8896789550781
2021-06-29,132.887939453125,260.4617004394531
2021-06-30,133.50201416015625,259.9818115234375
2021-07-01,133.80418395996094,260.65362548828125
2021-07-02,136.42630004882812,266.4598083496094
2021-07-06,138.4342498779297,266.4693603515625
2021-07-07,140.91990661621094,268.64794921875
2021-07-08,139.62347412109375,266.2391052246094
2021-07-09,141.4462432861328,266.7381896972656
2021-07-12,140.8516082763672,266.1430969238281
2021-07-13,141.96287536621094,269.65557861328125
2021-07-14,145.38424682617188,271.12396240234375
2021-07-15,144.73110961914062,269.7035217285156
2021-07-16,142.6939239501953,269.4348449707031
2021-07-19,138.8533935546875,265.8455810546875
2021-07-20,142.45997619628906,268.06243896484375
2021-07-21,141.7289276123047,270.0586242675781
2021-07-22,143.09359741210938,274.6076354980469
2021-07-23,144.8091278076172,277.9953308105469
2021-07-26,145.2283172607422,277.40032958984375
2021-07-27,143.06431579589844,274.99151611328125
2021-07-28,141.31951904296875,274.68450927734375
2021-07-29,141.96287536621094,274.9530944824219
2021-07-30,142.17735290527344,273.4271545410156
2021-08-02,141.8459014892578,273.3408508300781
2021-08-03,143.63946533203125,275.5481262207031
2021-08-04,143.23980712890625,274.96270751953125
2021-08-05,143.34698486328125,277.8514099121094
2021-08-06,142.66366577148438,277.79388427734375
2021-08-09,142.61483764648438,276.7093200683594
2021-08-10,142.1365203857422,274.8956298828125
2021-08-11,142.390380859375,275.38507080078125
2021-08-12,145.34828186035156,278.1297302246094
2021-08-13,145.55325317382812,281.0472412109375
2021-08-16,147.5251922607422,282.72674560546875
2021-08-17,146.61732482910156,281.26788330078125
2021-08-18,142.87844848632812,279.5467834472656
2021-08-19,143.2103271484375,285.3544921875
2021-08-20,144.66490173339844,292.6524353027344
2021-08-23,146.14874267578125,292.93133544921875
2021-08-24,146.0608367919922,290.9794921875
2021-08-25,144.83084106445312,290.39288330078125
2021-08-26,144.0303497314453,287.5852355957031
2021-08-27,145.06517028808594,288.19097900390625
2021-08-30,149.47763061523438,291.9120178222656
2021-08-31,148.2183380126953,290.26788330078125
2021-09-01,148.88217163085938,290.2198181152344
2021-09-02,149.9950408935547,289.56597900390625
2021-09-03,150.62953186035156,289.55633544921875
2021-09-07,152.9626922607422,288.6332702636719
2021-09-08,151.42027282714844,288.662109375
2021-09-09,150.40501403808594,285.8160400390625
2021-09-10,145.4263458251953,284.335205078125
2021-09-13,145.9925537109375,285.5659484863281
2021-09-14,144.5966033935547,288.25823974609375
2021-09-15,145.48492431640625,293.09478759765625
2021-09-16,145.25064086914062,293.47943115234375
2021-09-17,142.58558654785156,288.335205078125
2021-09-20,139.539794921875,282.9794921875
2021-09-21,140.01815795898438,283.4601745605469
2021-09-22,142.3805694580078,287.09478759765625
2021-09-23,143.33726501464844,288.03717041015625
2021-09-24,143.42510986328125,287.8351745605469
2021-09-27,141.91200256347656,282.8544616699219
2021-09-28,138.53428649902344,272.6140441894531
2021-09-29,139.4324188232422,273.0756530761719
2021-09-30,138.13404846191406,271.07568359375
2021-10-01,139.2566680908203,277.9794921875
2021-10-04,135.83013916015625,272.2198791503906
2021-10-05,137.75335693359375,277.6525573730469
2021-10-06,138.62216186523438,281.835205078125
2021-10-07,139.88145446777344,283.50830078125
2021-10-08,139.50071716308594,283.50830078125
2021-10-11,139.4128875732422,282.91217041015625
2021-10-12,138.143798828125,281.6140441894531
2021-10-13,137.5580596923828,284.91217041015625
2021-10-14,140.34027099609375,291.1044616699219
2021-10-15,141.39459228515625,292.5082702636719
2021-10-18,143.06393432617188,295.4697265625
2021-10-19,145.22134399414062,296.3736267089844
2021-10-20,145.70944213867188,295.58514404296875
2021-10-21,145.9241943359375,298.8063659667969
2021-10-22,145.1529998779297,297.2677917480469
2021-10-25,145.10421752929688,296.2774658203125
2021-10-26,145.7680206298828,298.1812744140625
2021-10-27,145.30918884277344,310.7389831542969
2021-10-28,148.9407196044922,311.87353515625
2021-10-29,146.23660278320312,318.8638916015625
2021-11-01,145.41659545898438,316.700439453125
2021-11-02,146.45135498046875,320.3157653808594
2021-11-03,147.88641357421875,321.1523132324219
2021-11-04,147.36900329589844,323.4985046386719
2021-11-05,147.8969268798828,323.1331787109375
2021-11-08,147.07571411132812,324.0273132324219
2021-11-09,147.43748474121094,323.0273742675781
2021-11-10,144.61207580566406,318.075439453125
2021-11-11,144.5631866455078,319.64276123046875
2021-11-12,146.6357879638672,323.7677001953125
2021-11-15,146.64556884765625,323.1427001953125
2021-11-16,147.62319946289062,326.4504089355469
2021-11-17,150.05752563476562,326.6719665527344
2021-11-18,154.33958435058594,328.7430114746094
2021-11-19,156.9596405029297,330.5155334472656
2021-11-22,157.41915893554688,327.3559265136719
2021-11-23,157.80038452148438,325.2848205566406
2021-11-24,158.3185577392578,325.5063171386719
2021-11-26,153.3032684326172,317.5784606933594
2021-11-29,156.6565399169922,324.27337646484375
2021-11-30,161.6033935546875,318.455078125
2021-12-01,161.08526611328125,317.9637145996094
2021-12-02,160.09786987304688,317.39544677734375
2021-12-03,158.22079467773438,311.1533508300781
2021-12-06,161.6229705810547,314.2165832519531
2021-12-07,167.35191345214844,322.6261901855469
2021-12-08,171.1647186279297,322.67425537109375
2021-12-09,170.6562957763672,320.8729248046875
2021-12-10,175.43695068359375,329.96636962890625
2021-12-13,171.8099365234375,326.94171142578125
2021-12-14,170.43145751953125,316.2876892089844
2021-12-15,175.2903289794922,322.3660583496094
2021-12-16,168.40774536132812,312.973876953125
2021-12-17,167.3127899169922,311.914306640625
2021-12-20,165.95388793945312,308.1671447753906
2021-12-21,169.12144470214844,315.2762145996094
2021-12-22,171.71217346191406,320.96923828125
