Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI_14,Daily_Return,Target
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,
Date,,,,,,,,,,
2021-09-10,145.4263458251953,151.78148246152148,145.16276433644302,151.3129047338198,140893200,147.20012969970702,144.04407653808593,38.41185258589928,-0.03310223407894619,1
2021-09-13,145.99256896972656,147.818081410703,145.21159606216116,147.04688016056696,102404300,147.22209625244142,144.28784362792967,41.18400542393169,0.0038935389685983424,0
2021-09-14,144.59657287597656,147.4764113119793,143.41536423851278,146.77353720711707,109296300,147.0756637573242,144.4512503051758,36.509168510233856,-0.009562103767346342,1
2021-09-15,145.48497009277344,145.88522085442207,142.88824086779533,145.02614895543434,83281300,147.01904525756837,144.59226409912108,41.394013179360776,0.0061439714588455985,0
2021-09-16,145.25062561035156,145.42635157507343,143.71798000246844,144.90896023332135,68034100,147.13765411376954,144.6788787841797,40.44686046015793,-0.0016107813904930879,0
2021-09-17,142.58554077148438,145.2798957731565,142.2926741544572,145.2798957731565,129868800,147.1064140319824,144.73812072753907,31.10692671196108,-0.018348181480584702,0
2021-09-20,139.53976440429688,141.39456149508126,137.90949193283979,140.3793074328847,123478900,146.85015487670898,144.69999114990233,23.845777685419293,-0.02136104650378845,1
2021-09-21,140.01812744140625,141.16030897663776,139.38359538478255,140.5062336067531,75834000,146.54362258911132,144.6833203125,26.93647431292895,0.003428148522047092,1
2021-09-22,142.3805694580078,142.94675948187773,140.28170408222925,141.01386330488788,76404300,146.3596076965332,144.69167510986327,40.65988922014923,0.01687240116527189,1
2021-09-23,143.3372344970703,143.58128753921014,142.17553963315416,143.16150856090553,64838200,146.2849250793457,144.65073486328126,45.447540964882386,0.00671907018425455,1
2021-09-24,143.42510986328125,143.96202960944674,142.09746053449825,142.1950877231893,53477900,146.25466232299806,144.6246139526367,45.91007714874954,0.0006130672641988522,0
2021-09-27,141.91195678710938,142.48793328173883,140.39883985731234,142.0095839613355,74150700,146.09700393676758,144.60897521972657,39.29112203243586,-0.010550126666204251,0
2021-09-28,138.5343475341797,141.30678802122188,138.3195795489755,139.84246897436984,108972300,145.5498405456543,144.60259399414062,28.651910445821017,-0.02380073765029289,1
2021-09-29,139.43240356445312,141.0138627120859,138.6514307510702,139.08096654322168,74602000,145.11054534912108,144.5420413208008,34.12436034906189,0.006482551412398729,0
2021-09-30,138.13404846191406,140.9455448156453,137.9192805517919,140.2426707272125,89056700,144.57314224243163,144.47014434814454,30.253456302853053,-0.009311717142843956,1
2021-10-01,139.2567138671875,139.52029542569983,135.80092800506898,138.5245544569587,94639600,144.03622665405274,144.3934063720703,37.34452468314905,0.008127361919628262,0
2021-10-04,135.8302001953125,138.82717957779718,134.98090012736012,138.3878720570302,98322000,143.29625778198243,144.213828125,27.498715312669958,-0.02460573409152067,1
2021-10-05,137.75332641601562,138.8564511470798,136.0449547897289,136.17186716291496,80861100,142.5357894897461,144.06432891845702,38.072100700290164,0.014158311023158454,1
2021-10-06,138.62217712402344,138.7686030429388,135.07852092806354,136.15236065284557,83221100,141.89588470458983,143.97548553466797,42.44750128553953,0.006307293846276263,1
2021-10-07,139.8814697265625,140.78935501402486,139.32503639848235,139.6569450430087,61732700,141.3697036743164,143.94672454833983,48.52916103634091,0.009084351643189104,0
2021-10-08,139.50074768066406,140.75029837603776,139.16883903566588,140.60387247260306,58773200,141.07342376708985,143.89748291015624,46.803844659479395,-0.002721747538417141,0
2021-10-11,139.41287231445312,141.36529686032225,138.43666004151856,138.88572424122802,64452200,140.74443893432618,143.84219451904298,46.36484738392984,-0.0006299275643461,0
2021-10-12,138.14382934570312,139.8424445053315,137.68500826630617,139.82291608395988,73035900,140.4218017578125,143.76815307617187,40.097863038510766,-0.009102767539912682,0
2021-10-13,137.55812072753906,138.0364553671229,135.88879063118128,137.88027267230362,78762700,140.02545928955078,143.6465270996094,37.40535649556301,-0.004239846404563874,1
2021-10-14,140.34027099609375,140.45742659800283,138.14379338196727,138.7295267040612,69907100,139.7799415588379,143.5885366821289,54.244662189086185,0.020225270989746136,1
2021-10-15,141.3946075439453,141.45317790755652,140.09624319922384,140.35006796929892,67940300,139.72039489746095,143.54948852539061,59.06054244057222,0.007512715632998157,1
2021-10-18,143.0639190673828,143.34701408719482,139.7545598847163,140.03765490452832,85589200,139.89660263061523,143.55749328613283,65.66295767301186,0.011806047998815572,1
2021-10-19,145.22137451171875,145.62162523479623,143.06395310397025,143.5130025382052,76378900,140.15676498413086,143.60962310791015,72.31997365979791,0.015080360292099693,1
2021-10-20,145.70944213867188,146.18779152686344,144.59656071553547,145.16276563549152,58418800,140.32320861816407,143.68108123779297,73.65327825070317,0.003360852550763793,1
2021-10-21,145.92417907714844,146.0803765865811,144.3524770160413,145.27011876419027,61421000,140.45255584716796,143.75175872802734,74.2821642909937,0.001473733859142845,0
2021-10-22,145.1530303955078,146.60757740087539,145.1042167942401,146.12924283758312,58883400,140.5389518737793,143.74785430908204,67.59643998428157,-0.005284584683069693,0
2021-10-25,145.10421752929688,145.8168484447923,144.1084766625064,145.14325947301697,50720600,140.69856491088868,143.73887390136719,67.1549851588577,-0.00033628554690134926,1
2021-10-26,145.7680206298828,147.25185252804923,145.4653823192533,145.77777738990952,60893400,141.06024856567382,143.70372985839845,70.20791112697799,0.0045746644162973915,0
2021-10-27,145.3092041015625,146.16826078037482,144.95776708428832,145.80706700277705,56094900,141.3540885925293,143.67756713867186,65.36257771805248,-0.0031475801505550516,1
2021-10-28,148.9407196044922,149.52643805425132,146.1585085567286,146.256135746264,100077900,141.8944221496582,143.79881256103516,78.75371329555335,0.024991641275465826,0
2021-10-29,146.23663330078125,146.37330245291255,142.92727357091124,143.718003300801,124953200,142.2434181213379,143.85933837890624,59.11713634118713,-0.01815545346424785,0
2021-11-01,145.4166259765625,146.13901372017423,144.2842158593394,145.44591116098886,74588300,142.72273941040038,143.87437194824219,54.373341919705744,-0.005607400182224831,1
2021-11-02,146.4513702392578,147.96450225059075,145.11394928812004,145.12372094423125,69122000,143.1576416015625,143.88042388916017,59.14649139317119,0.00711572184917908,1
2021-11-03,147.88644409179688,148.35502194347706,146.25617092597884,146.81260433188254,54511500,143.62085494995117,143.91693542480468,65.004935653966,0.009798978665713998,0
2021-11-04,147.36903381347656,148.80405236999567,147.05663868837075,147.9742807485948,60394600,143.99523315429687,143.9676983642578,61.34525949961558,-0.0034986998402580793,1
2021-11-05,147.89695739746094,148.7963818494452,146.70423879606528,148.49331669815876,65463900,144.41504364013673,144.04503021240234,63.74802773201735,0.0035823237102345917,0
2021-11-08,147.0757293701172,148.18046407919945,146.80199217243356,148.02403856122066,55020900,144.7981864929199,144.0852423095703,57.34950921909585,-0.005552704002806275,1
2021-11-09,147.43740844726562,148.04353851031115,146.70418082227025,146.84104938223388,56787900,145.26286544799805,144.04443817138673,59.41936028235507,0.002459135023143544,0
2021-11-10,144.61207580566406,146.7726603269792,144.54364896685252,146.66511965093986,65187100,145.6155632019043,143.97231353759764,41.33720251436196,-0.01916292934986108,0
2021-11-11,144.56320190429688,146.0883134852804,144.37744845730748,145.62883774477925,41000000,145.82670974731445,143.88593536376953,41.087634599811956,-0.0003379655612776311,1
2021-11-12,146.63577270507812,147.03659252052734,144.18189439318962,145.11064651980587,63804000,146.0887680053711,143.81875030517577,54.5222899578337,0.014336779854622561,1
2021-11-15,146.64556884765625,148.483531417499,146.08830852560698,147.00728981052836,59222800,146.26785049438476,143.73907012939452,54.57878007721247,6.680595326380434e-05,1
2021-11-16,147.62322998046875,148.1022776202638,146.00034850775356,146.58693684556133,59256200,146.38794326782227,143.63228088378906,60.262762606300996,0.006666830375407828,1
2021-11-17,150.05752563476562,151.53375230300938,147.61343285568483,147.6232038564801,88807000,146.60534744262696,143.6050259399414,70.77119403710796,0.016489922721640404,1
2021-11-18,154.3395538330078,155.12166644396783,149.62735108476016,150.27259510761894,137827700,147.02611618041993,143.68371520996095,80.97999836347496,0.02853591101231734,1
2021-11-19,156.95965576171875,157.41914644005507,153.02955003283444,154.12449892543512,117305600,147.61644744873047,143.9143814086914,84.74241005317694,0.016976218108974317,1
2021-11-22,157.41912841796875,161.99446283900974,157.39957149925132,158.0643575600625,117467900,148.23219299316406,144.14291259765625,85.32961105034941,0.00292732966328324,1
2021-11-23,157.8004150390625,158.18169292863084,155.502961782972,157.51689191338718,96041900,148.83381271362305,144.40698944091798,85.8510052937342,0.0024221111177886723,1
2021-11-24,158.31854248046875,158.5140669022848,156.0699743356913,157.1551520319611,69463600,149.48427963256836,144.66366088867187,86.59785277788626,0.003283435225933884,0
2021-11-26,153.30328369140625,156.8618824271744,152.8633499442556,156.00157185337474,76959800,149.70240783691406,144.82471405029298,54.4799258261511,-0.031678277923012144,1
2021-11-29,156.65660095214844,157.58535337179862,155.23901498169408,155.80604638636365,88748200,150.22340621948243,145.10613525390625,64.60705386673666,0.021873747123983822,1
2021-11-30,161.60340881347656,161.8184901598309,156.34371666317804,156.41215841772612,174048100,151.03274536132812,145.54740814208984,74.32853273037222,0.031577398151509506,0
2021-12-01,161.0852813720703,166.49161375206606,160.8506430799377,163.73466976035556,152052500,151.76444091796876,145.96875122070313,71.94045605654921,-0.003206166535783095,0
2021-12-02,160.0978240966797,160.52798674829987,154.27111613625055,155.19009727061072,136739200,152.3750099182129,146.32309631347655,67.19314894829206,-0.00613002793911277,0
2021-12-03,158.2207794189453,161.27101721338744,156.14819360952984,160.35203598315746,118023100,152.91759719848633,146.62076721191406,58.69747625258267,-0.011724360954467827,1
