Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI_14,Daily_Return,Target
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,,,,,
Date,,,,,,,,,,
2021-09-10,284.3351745605469,288.3832533102999,284.0178812923482,286.94095249475373,19633400,287.5821990966797,278.19111328125,34.742921557007435,-0.005181396387767934,1
2021-09-13,285.5659484863281,287.0563436631931,282.76788126792405,286.1044051321014,23652900,287.8081359863281,278.6893585205078,42.21821868068756,0.004328602423824268,1
2021-09-14,288.25823974609375,289.79669976756344,286.63324519977493,288.0370763979121,21853400,288.0847137451172,279.12532775878907,55.17767712872619,0.00942791419648037,1
2021-09-15,293.0947570800781,293.5755240081629,290.21015551156955,291.59476661194844,28356300,288.6760559082031,279.6578350830078,69.40235729373381,0.01677841833157845,1
2021-09-16,293.4793395996094,293.5658741180056,289.1909071848878,292.0755085061563,19550800,289.37268218994143,280.1544647216797,70.26807418178066,0.0013121439747425523,0
2021-09-17,288.335205078125,292.7871123350573,288.0082870289444,292.469819016164,41372500,289.52172393798827,280.5963879394531,48.91019934714938,-0.017528097645655216,0
2021-09-20,282.9794006347656,287.2293931677513,278.3832700003604,284.9313131787065,38278700,289.03807067871094,280.9212139892578,35.827953888063334,-0.01857492373124614,1
2021-09-21,283.4601135253906,286.09473572882166,282.75821272786243,284.31589257468465,22364100,288.56451110839845,281.2675543212891,37.55765486083176,0.0016987557735534953,1
2021-09-22,287.0948181152344,288.6717480113228,283.18139690958066,285.3160036325235,26626300,288.3702819824219,281.61633850097655,49.44578990189633,0.012822631532313222,1
2021-09-23,288.037109375,289.32556135418525,286.085196618995,287.35442848279695,18604600,288.2524948120117,281.9546014404297,52.169752277549364,0.003282160458178085,0
2021-09-24,287.8351745605469,288.26784720291187,285.50824964587054,286.7582613035244,14999000,288.26499633789064,282.3172332763672,51.48380871091794,-0.0007010722156297611,0
2021-09-27,282.85443115234375,285.0659473135494,281.67173392975803,284.7486540480037,23571700,287.9981658935547,282.585625,37.46464492701628,-0.017304151293557113,0
2021-09-28,272.61407470703125,279.5948200559048,271.8737041842086,278.65250629111523,43186200,287.03326110839845,282.7209948730469,22.761275920808245,-0.036203627440423936,1
2021-09-29,273.07562255859375,275.73906084869554,272.123713405147,274.1333156978042,26353700,286.17365112304685,282.8212573242188,24.306192918668927,0.0016930448365826134,0
2021-09-30,271.0757141113281,276.7583549818857,270.78723626688867,274.71990732676227,32343600,285.21644592285156,282.84159912109374,22.096486526090587,-0.00732364327700652,1
2021-10-01,277.9794921875,278.8256468235506,270.4699138080857,271.26797413672585,30086300,284.63712310791016,282.9090350341797,42.80679893936957,0.025468080380437685,0
2021-10-04,272.2198181152344,276.6813490007705,269.4698455515758,276.34480630440487,31350700,283.77029571533205,282.7935235595703,34.08426718759293,-0.02071978053827317,1
2021-10-05,277.652587890625,279.22948850924683,273.1237412861691,273.1237412861691,24993000,283.2212631225586,282.79856689453123,46.04894588537352,0.01995728971169486,1
2021-10-06,281.835205078125,282.3352215175468,274.5275704532508,274.7871740588591,28002600,282.8799163818359,282.93544189453127,53.540340902386994,0.015064211067780997,1
2021-10-07,283.5082702636719,285.2294241243567,282.61405079814455,283.82556353271264,20430500,282.76452484130857,283.1119195556641,56.33851006568528,0.00593632433209712,0
2021-10-08,283.5082702636719,285.2294241243567,282.4602018561691,284.8255669837104,17685700,282.72317962646486,283.28302185058595,56.33851006568528,0.0,0
2021-10-11,282.912109375,286.5082365093531,281.4890287428217,281.65250240514854,19298600,282.5904876708984,283.4727209472656,54.7735079275119,-0.0021027989346392717,0
2021-10-12,281.61407470703125,284.0755993304145,281.10446287508915,283.9794400643769,17974100,282.25827941894534,283.6381854248047,51.20034220288155,-0.0045881198610986385,1
2021-10-13,284.91217041015625,285.8448596726452,282.2006371715357,283.56602852194857,23416300,281.8491500854492,283.8254663085938,59.03500604738277,0.011711402232136514,1
2021-10-14,291.1044006347656,291.60438772035315,286.37364073387175,287.7005622674281,27262900,281.730403137207,284.14830017089844,69.60613316029114,0.021733821393782993,1
2021-10-15,292.5082702636719,292.73905839342854,288.9602072094581,290.7102062536316,25384800,281.9390563964844,284.4414373779297,71.52812715332493,0.004822564089876469,1
2021-10-18,295.46978759765625,296.3543824347761,291.04672538099135,291.89287998601975,22729300,282.5635757446289,284.79495727539063,75.32600467271529,0.010124559320373372,1
2021-10-19,296.3736267089844,297.40244575766764,295.4024680074294,296.489006090617,17682100,283.2092514038086,285.1882421875,76.43301994332819,0.0030589899518216335,0
2021-10-20,295.585205078125,297.7871264122316,294.3351931255189,297.3159547433428,16537100,283.63377075195314,285.60203552246094,73.13062707101194,-0.00266022871067928,1
2021-10-21,298.80633544921875,299.0563143524255,294.5755620879851,295.3544316768825,16918100,284.17223205566404,286.0704632568359,77.67728613939799,0.010897468194466686,0
2021-10-22,297.2677917480469,299.1235449309406,295.9600905274078,298.46008426452863,17449300,284.64386291503905,286.45322692871093,71.05121899148544,-0.005148966131721666,0
2021-10-25,296.2774658203125,297.4986033941539,294.67169118488476,297.4601338192577,17554500,285.3150146484375,286.75783203125,66.81799317353084,-0.003331426932971393,1
2021-10-26,298.1813049316406,300.3832260837612,296.7294084953105,299.03708430610516,28107300,286.59337615966797,287.0669244384766,70.69141468996231,0.0064258653828326295,1
2021-10-27,310.7389221191406,313.5562093922769,303.8447111727647,303.8447111727647,52588700,288.47654113769534,287.6563446044922,84.47981541230195,0.04211403256947621,1
2021-10-28,311.8735656738281,312.37355280117015,308.9985589964651,311.854316213441,26297900,290.5164337158203,288.30287963867187,85.20545468661979,0.0036514368620113036,1
2021-10-29,318.8638000488281,319.2291875488427,311.4407587308729,311.66192204500794,34766000,292.5606491088867,288.9730682373047,88.89595537257513,0.022413680235761735,0
2021-11-01,316.70050048828125,318.73894820543626,313.8158980182633,318.6139440700778,27073200,294.78468322753906,289.45402893066404,81.62518116984572,-0.006784399985873657,1
2021-11-02,320.3157653808594,320.62346324500305,317.3061598365116,317.6042329724997,26487100,296.91784210205077,290.00171813964846,84.12835975834648,0.011415406312917709,1
2021-11-03,321.1523742675781,322.017749048064,317.93122931561726,321.05621499337065,21500100,298.8837005615234,290.6051776123047,84.68542241788587,0.002611825508257448,1
2021-11-04,323.49847412109375,323.59463338175044,316.83505110356475,320.08504044542997,23992200,300.88321075439455,291.2672900390625,86.24728430760722,0.007305254581617682,0
2021-11-05,323.1330871582031,325.75808532637757,321.5561867864097,325.48885700223303,22570100,302.8644515991211,291.9782489013672,84.69507520611057,-0.0011294858928881935,1
2021-11-08,324.0273742675781,324.6619903091156,321.57547399482706,324.3254474977967,20897000,304.92021484375,292.6949755859375,85.43532358766927,0.0027675504147217644,0
2021-11-09,323.0273742675781,325.69081300942594,321.6619830119795,324.1427279377186,21307400,306.99087982177736,293.3172796630859,80.41693029854903,-0.003086159008202194,0
2021-11-10,318.075439453125,321.75813115179415,317.22931417120816,321.7004414585655,25500900,308.64904327392577,293.8734320068359,60.209361269676286,-0.015329768338305683,1
