Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2021-06-28,257.8896789550781,258.0624173190281,255.19293377437566,255.4616476586145,19590000
2021-06-29,260.4617004394531,260.7016246346419,257.17955385033815,258.03366875564717,19937800
2021-06-30,259.9818115234375,260.42326377323786,258.7342176179776,259.7802834314268,21656500
2021-07-01,260.65362548828125,260.88394332062984,258.7342321183935,258.7438091696623,16725300
2021-07-02,266.4598083496094,266.7957080842182,261.517375730034,261.8244857323976,26458000
2021-07-06,266.4693603515625,268.1104333301389,263.24476455954283,266.8244434060529,31565600
2021-07-07,268.64794921875,269.3773282430186,265.9799929781562,268.1393110275168,23260000
2021-07-08,266.2391052246094,267.4963057183195,263.79186075613046,265.74004413313054,24618600
2021-07-09,266.7381896972656,266.8437423104602,264.22378821336406,264.6076611604066,23916700
2021-07-12,266.1430969238281,268.49433627554,265.43290144744316,267.9089353442858,18931700
2021-07-13,269.65557861328125,271.4502066850758,266.21027111145844,266.33500707591065,26120100
2021-07-14,271.12396240234375,272.2276079057793,269.2429355174447,270.9704073941302,23113700
2021-07-15,269.7035217285156,271.1238831737116,268.5518741472632,270.63442855853714,22604200
2021-07-16,269.4348449707031,272.6498347308158,268.19682804350134,270.7016516270204,26186800
2021-07-19,265.8455810546875,269.0701477729701,263.38875994905754,267.688182240101,32935600
2021-07-20,268.06243896484375,269.64593236514037,265.1257699569879,266.8244222536532,26259700
2021-07-21,270.0586242675781,270.17378317649553,266.1142851990735,267.6593827064098,24364300
2021-07-22,274.6076354980469,274.8763494100788,271.9972592293282,272.4003154535662,23384100
2021-07-23,277.9953308105469,278.30241146815854,274.9530796603886,275.78801102778897,22768100
2021-07-26,277.40032958984375,278.01454955841905,275.08748623115633,277.3523564681326,23176100
2021-07-27,274.99151611328125,277.9089731585834,271.54620828066527,277.76502450299625,33604100
2021-07-28,274.68450927734375,278.45611190820995,272.3908191156786,277.3428597408999,33566900
2021-07-29,274.9530944824219,276.9876467259065,274.5500089966287,274.7035639775205,18168300
2021-07-30,273.4271545410156,275.10662354630284,272.4674579665658,273.67668502240946,20944800
2021-08-02,273.3408508300781,275.212242025892,272.30436188036447,274.8187628216139,16267400
2021-08-03,275.5481262207031,275.6537080927837,272.5538770462147,273.91665931799884,17879000
2021-08-04,274.96270751953125,275.99916705627766,273.1776564498441,274.68438727940855,16191300
2021-08-05,277.8514099121094,277.9569917907823,274.569263222689,275.31782556305,13900200
2021-08-06,277.79388427734375,277.8322803577218,276.0280453191192,276.882189703669,16589300
2021-08-09,276.7093200683594,279.7995444289697,276.2102883577603,278.0721021873737,16117600
2021-08-10,274.8956298828125,277.59237629481834,273.70561489321,277.1605009001373,18616600
2021-08-11,275.38507080078125,277.02614449965836,274.3389752789193,275.6345721096659,13955900
2021-08-12,278.1297302246094,278.283285228758,274.79958112166787,275.0779013971637,14561300
2021-08-13,281.0472412109375,281.09521434057825,277.640299665323,277.8130673648045,18249000
2021-08-16,282.72674560546875,282.9378801196234,278.3313168892387,281.3735693039723,22507600
2021-08-17,281.26788330078125,281.6037829881996,279.34848998709674,280.60571955216835,20075300
2021-08-18,279.5467834472656,283.4794538884407,279.1044566907851,280.8063906085156,21813000
2021-08-19,285.3544921875,286.0275778607729,277.5372438390426,277.58530881126427,29850500
2021-08-20,292.6524353027344,294.0755159975354,286.5947836444188,288.1909333937579,40817600
2021-08-23,292.93133544921875,293.6524859694501,290.23905191116444,291.5851936801916,22830200
2021-08-24,290.9794921875,293.892939812754,290.3833456430918,293.2871685357918,18175800
2021-08-25,290.39288330078125,292.8736280290071,288.86404781166596,292.5947749618287,20006100
2021-08-26,287.5852355957031,290.79675602594824,287.4506360780136,289.41214454966746,17666100
2021-08-27,288.19097900390625,289.29673726337023,285.4121315880625,287.4890486022759,22605700
2021-08-30,291.9120178222656,292.51778875937845,289.47933869034046,289.5370283659055,16348100
2021-08-31,290.26788330078125,292.78709763966935,289.9024956924805,292.71018783230056,26285300
2021-09-01,290.2198181152344,293.45058787896966,289.8929000496603,291.2198217734967,18983800
2021-09-02,289.56597900390625,291.69096108011354,288.6332897832502,290.5756073825475,16285600
2021-09-03,289.55633544921875,290.96016674016533,288.7101809142856,289.4120818879158,14747900
2021-09-07,288.6332702636719,289.5082697285104,286.7294517158089,289.4313599194175,17180400
2021-09-08,288.662109375,289.04671710020153,286.0275156464967,288.2486568040006,15046800
2021-09-09,285.8160400390625,290.5179563470504,285.57565648982865,289.24872416460886,19927000
2021-09-10,284.335205078125,288.38328426235665,284.01791177587137,286.9409832920089,19633400
2021-09-13,285.5659484863281,287.0563436631931,282.76788126792405,286.1044051321014,23652900
2021-09-14,288.25823974609375,289.79669976756344,286.63324519977493,288.0370763979121,21853400
2021-09-15,293.09478759765625,293.57555457579934,290.2101857287975,291.5947969733447,28356300
2021-09-16,293.47943115234375,293.56596569773495,289.19099739981857,292.0755996209567,19550800
2021-09-17,288.335205078125,292.7871123350573,288.0082870289444,292.469819016164,41372500
2021-09-20,282.9794921875,287.2294860954919,278.383360066102,284.93140536294595,38278700
2021-09-21,283.4601745605469,286.09479733126966,282.7582736118841,284.31595379410885,22364100
2021-09-22,287.09478759765625,288.6717173261203,283.18136680799097,285.3159733040297,26626300
2021-09-23,288.03717041015625,289.3256226623649,286.0852572405403,287.35448937329284,18604600
2021-09-24,287.8351745605469,288.26784720291187,285.50824964587054,286.7582613035244,14999000
2021-09-27,282.8544616699219,285.0659780697312,281.67176431973326,284.7486847699523,23571700
2021-09-28,272.6140441894531,279.5947887568724,271.87367374951066,278.65247509756944,43186200
2021-09-29,273.0756530761719,275.73909166392633,272.1237438163445,274.1333463335849,26353700
2021-09-30,271.07568359375,276.7583238245585,270.7872057817873,274.71987639892257,32343600
2021-10-01,277.9794921875,278.8256468235506,270.4699138080857,271.26797413672585,30086300
2021-10-04,272.2198791503906,276.6814110362589,269.4699059701531,276.3448682644361,31350700
2021-10-05,277.6525573730469,279.22945781834716,273.12371126636924,273.12371126636924,24993000
2021-10-06,281.835205078125,282.3352215175468,274.5275704532508,274.7871740588591,28002600
2021-10-07,283.50830078125,285.22945482720434,282.6140812194665,283.825594084445,20430500
2021-10-08,283.50830078125,285.22945482720434,282.46023226093035,284.82559764308587,17685700
2021-10-11,282.91217041015625,286.50829832033395,281.489089470964,281.6525631685585,19298600
2021-10-12,281.6140441894531,284.07556854608913,281.10443241273595,283.979409290472,17974100
2021-10-13,284.91217041015625,285.8448596726452,282.2006371715357,283.56602852194857,23416300
2021-10-14,291.1044616699219,291.6044488603404,286.37370077714104,287.70062258890977,27262900
2021-10-15,292.5082702636719,292.73905839342854,288.9602072094581,290.7102062536316,25384800
2021-10-18,295.4697265625,296.35432121688916,291.0466652595065,291.89281968974484,22729300
2021-10-19,296.3736267089844,297.40244575766764,295.4024680074294,296.489006090617,17682100
2021-10-20,295.58514404296875,297.78706492240235,294.3351323484767,297.3158933508054,16537100
2021-10-21,298.8063659667969,299.0563448955344,294.57559217346744,295.35446184191204,16918100
2021-10-22,297.2677917480469,299.1235449309406,295.9600905274078,298.46008426452863,17449300
