Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI_14,Daily_Return
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,,,,
Date,,,,,,,,,
2021-06-28,257.88970947265625,258.06244785704735,255.1929639728323,255.46167788886962,19590000,,,,
2021-06-29,260.461669921875,260.70159408895256,257.1795237173201,258.03363852255484,19937800,,,100.0,0.00997310227879189
2021-06-30,259.9818115234375,260.42326377323786,258.7342176179776,259.7802834314268,21656500,,,82.28579754467606,-0.0018423378709866434
2021-07-01,260.65362548828125,260.88394332062984,258.7342321183935,258.7438091696623,16725300,,,86.22703697621343,0.002584080635899433
2021-07-02,266.45977783203125,266.79567752816956,261.5173457785115,261.82445574570187,26458000,,,95.72095430673451,0.02227535616615106
2021-07-06,266.4693908691406,268.11046403566195,263.244794707822,266.8244739642971,31565600,,,95.72658178155044,3.607687879791932e-05
2021-07-07,268.64788818359375,269.3772670421519,265.97993254914314,268.13925010791996,23260000,,,96.82009698840261,0.008175412970876428
2021-07-08,266.2390441894531,267.4962443949508,263.7918002820035,265.7399832123837,24618600,,,72.99055695647186,-0.00896654729142865
2021-07-09,266.73809814453125,266.84365072149694,264.2236975236495,264.60757033893503,23916700,,,74.49136157721912,0.00187445818323706
2021-07-12,266.14312744140625,268.4943670627255,265.432931883586,267.9089660643457,18931700,,,69.20177477570255,-0.00223054264562772
2021-07-13,269.65557861328125,271.4502066850758,266.21027111145844,266.33500707591065,26120100,,,79.24231957719662,0.013197602378999251
2021-07-14,271.1239318847656,272.2275772639754,269.24290521159406,270.97037689383615,23113700,,,82.06297574297297,0.005445291653284112
2021-07-15,269.70355224609375,271.1239138520069,268.5519045345298,270.6344591814496,22604200,,,71.2557757120932,-0.005238857480407089
2021-07-16,269.434814453125,272.64980384909137,268.19679766614735,270.7016209659572,26186800,,,69.2644222222751,-0.0009964191822120494
2021-07-19,265.8456115722656,269.0701786607104,263.3887901846065,267.68821296919947,32935600,,,48.413947401492784,-0.013321229062934647
2021-07-20,268.0625305175781,269.6460244586933,265.1258605067467,266.8245133835614,26259700,,,57.526214079467,0.008339121839180175
2021-07-21,270.05865478515625,270.173813707087,266.11431527092736,267.6594129528652,24364300,,,64.11227469107143,0.007446487443522942
2021-07-22,274.6076354980469,274.8763494100788,271.9972592293282,272.4003154535662,23384100,,,74.50678077504607,0.016844417434092485
2021-07-23,277.9953918457031,278.30247257073574,274.9531400276046,275.78807157831795,22768100,,,79.58726495319098,0.012336715770892459
2021-07-26,277.4003601074219,278.0145801435692,275.0875164942922,277.3523869804331,23176100,267.67861022949216,,76.49764980687327,-0.002140437416356611
2021-07-27,274.991455078125,277.90891147588917,271.54614801020494,277.7649628522518,33604100,268.5336975097656,,64.75510396723308,-0.00868385689320672
2021-07-28,274.6843566894531,278.4559572251852,272.39066780193826,277.3427056762893,33566900,269.24483184814454,,63.325233367484465,-0.001116756113693218
2021-07-29,274.953125,276.9876774693035,274.5500394694676,274.70359446740275,18168300,269.99339752197267,,64.12517978037047,0.0009784623841930795
2021-07-30,273.4272155761719,275.10668495635474,272.4675187874959,273.6767461132666,20944800,270.6320770263672,,56.10807587317281,-0.005549707514064917
2021-08-02,273.3408508300781,275.212242025892,272.30436188036447,274.8187628216139,16267400,270.9761306762695,,55.65367576889222,-0.0003158600942915202
2021-08-03,275.5481872558594,275.65376915132686,272.5539374181312,273.91671999177777,17879000,271.4300704956055,,64.2031243738522,0.008075398971935766
2021-08-04,274.9627685546875,275.9992283215032,273.17771708876165,274.68444825278436,16191300,271.74581451416014,,60.626378592413445,-0.0021245601613349985
2021-08-05,277.851318359375,277.95690020325844,274.56917275143024,275.31773484513803,13900200,272.32642822265626,,70.10742733308946,0.010505239745260297
2021-08-06,277.79376220703125,277.832158270537,276.0279240247651,276.88206803398026,16589300,272.87921142578125,,69.72143636386791,-0.00020714730699711303
2021-08-09,276.7093200683594,279.7995444289697,276.2102883577603,278.0721021873737,16117600,273.4075210571289,,62.26824492405519,-0.003903767061060437
2021-08-10,274.89556884765625,277.5923146609027,273.7055541222731,277.16043936211105,18616600,273.66952056884764,,51.619285354548566,-0.006554716770129199
2021-08-11,275.3850402832031,277.02611380022,274.3389448772672,275.63454156443856,13955900,273.88257598876953,,54.0654065542587,0.0017805723009602925
2021-08-12,278.1296691894531,278.28322415990436,274.7995208173079,275.0778410317268,14561300,274.3038818359375,,65.3878165399417,0.009966514170222984
2021-08-13,281.04718017578125,281.0951532950036,277.64023937005385,277.81300703201526,18249000,274.88450012207034,,73.42280015821237,0.010489751038896822
2021-08-16,282.7266540527344,282.93778849851935,278.33122675983446,281.37347818942425,22507600,275.7285522460937,,76.97334861626666,0.005975772024834791
2021-08-17,281.2679138183594,281.60381354222284,279.3485202964206,280.60574999790174,20075300,276.3888214111328,,67.88448908642124,-0.005159542665909789
2021-08-18,279.5467834472656,283.4794538884407,279.1044566907851,280.8063906085156,21813000,276.8632278442383,,58.483266302473794,-0.006119184900006958
2021-08-19,285.35443115234375,286.0275166816487,277.53718447593633,277.5852494378773,29850500,277.40056762695315,,73.02703332541809,0.02077522636268747
2021-08-20,292.65252685546875,294.07560799546314,286.59487330209095,288.191023550766,40817600,278.13342437744143,,82.11268499748341,0.025575547131520437
2021-08-23,292.93133544921875,293.6524859694501,290.23905191116444,291.5851936801916,22830200,278.90997314453125,,82.37439237955209,0.0009526949818126074
2021-08-24,290.9794006347656,293.892847343343,290.38325427792677,293.28707625697854,18175800,279.7093704223633,,73.66766791984439,-0.006663455145417552
2021-08-25,290.39288330078125,292.8736280290071,288.86404781166596,292.5947749618287,20006100,280.4947967529297,,71.06347898114025,-0.002015666169855712
2021-08-26,287.585205078125,290.7967251675743,287.4506055747187,289.4121138382239,17666100,281.12640075683595,,59.45448517608462,-0.009668550381615737
2021-08-27,288.19097900390625,289.29673726337023,285.4121315880625,287.4890486022759,22605700,281.86458892822264,,61.03897564313565,0.0021064154729959483
2021-08-30,291.9120788574219,292.51784992119383,289.4793992168539,289.5370889044811,16348100,282.7931503295898,,69.48982202540117,0.01291192342791958
2021-08-31,290.2678527832031,292.78706685723137,289.9024652133177,292.71015705794855,26285300,283.52913360595704,,62.57029863392643,-0.005632607189995142
2021-09-01,290.2197570800781,293.450526164361,289.89283908325706,291.21976052803296,18983800,284.29198303222654,,62.360714347750395,-0.00016569421196266365
2021-09-02,289.56597900390625,291.69096108011354,288.6332897832502,290.5756073825475,16285600,284.8777160644531,,59.24802111901181,-0.0022527001012941916
2021-09-03,289.55633544921875,290.96016674016533,288.7101809142856,289.4120818879158,14747900,285.4658447265625,,59.197730729427285,-3.330347964447533e-05
2021-09-07,288.63330078125,289.50830033860336,286.7294820320938,289.43139052137866,17180400,286.06204376220705,276.5815087890625,54.12397443974909,-0.0031877550409551425
2021-09-08,288.662109375,289.04671710020153,286.0275156464967,288.2486568040006,15046800,286.75037078857423,277.1969567871094,54.26513841054171,9.981036031536661e-05
2021-09-09,285.81591796875,290.51783226857776,285.5755345221825,289.2486006282176,19927000,287.27191467285155,277.70404174804685,40.17335083210832,-0.009859941134679806
