Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI_14,Daily_Return
2021-09-07,152.9627227783203,153.51915609845358,150.71743128739138,151.28363626481303,82278300,146.33130111694337,143.05438842773438,77.79791367888618,0.0154891866728406
2021-09-08,151.42031860351562,153.30440154284446,150.31719373274197,153.24583117728486,74420200,146.79549026489258,143.45525360107422,66.53847746485958,-0.0100835298090241
2021-09-09,150.40501403808594,152.39648028234163,150.28785845020124,151.79123351222952,57305700,147.19622573852538,143.80559539794922,59.94864847438373,-0.006705206902174
2021-09-10,145.42633056640625,151.7814665359228,145.16274910531013,151.3128888573864,140893200,147.20012969970702,144.0440808105469,38.4197470094413,-0.0331018450649456
2021-09-13,145.99256896972656,147.818081410703,145.21159606216116,147.04688016056696,102404300,147.22209396362305,144.2878482055664,41.19126085848981,0.0038936443016537
2021-09-14,144.5965576171875,147.4763957492906,143.4153491043727,146.7735217186003,109296300,147.0756622314453,144.45125305175782,36.516090935194896,-0.0095622082849199
2021-09-15,145.48495483398438,145.88520555365383,142.88822588135704,145.02613374476746,83281300,147.01904296875,144.59226684570314,41.399880703072206,0.006143972107198
2021-09-16,145.2506103515625,145.4263362978241,143.71796490468603,144.90894501042473,68034100,147.13765182495118,144.6788821411133,40.452692707511176,-0.0016107815594353
2021-09-17,142.5855712890625,145.27992686740734,142.29270460935308,145.27992686740734,129868800,147.1064125061035,144.7381234741211,31.112286262688244,-0.0183478682537001
2021-09-20,139.53976440429688,141.39456149508126,137.9094919328398,140.3793074328847,123478900,146.85015487670898,144.69999450683594,23.85025572193186,-0.0213612559618033
2021-09-21,140.01812744140625,141.16030897663776,139.38359538478255,140.5062336067531,75834000,146.54362258911132,144.68332397460938,26.940590025810963,0.003428148522047
2021-09-22,142.38058471679688,142.94677480134484,140.28171911608493,141.01387841720836,76404300,146.35960845947267,144.69167785644532,40.66265263158938,0.0168725101425117
2021-09-23,143.33726501464844,143.581318108749,142.1755699033987,143.16153904107028,64838200,146.28493041992186,144.65073791503906,45.44993740945939,0.0067191766332077
2021-09-24,143.42510986328125,143.96202960944674,142.09746053449825,142.1950877231893,53477900,146.25466842651366,144.62461700439454,45.91227291023516,0.0006128542261765
2021-09-27,141.91200256347656,142.48797924389808,140.39888514559524,142.00962976919416,74150700,146.09700927734374,144.60897888183592,39.29341447063084,-0.0105498075005627
2021-09-28,138.5343017578125,141.30674132874793,138.31953384357482,139.8424227657557,108972300,145.5498420715332,144.60259704589845,28.653621509962434,-0.0238013751102781
2021-09-29,139.43238830566406,141.01384728022984,138.65141557774692,139.08095132289213,74602000,145.110546875,144.54204559326172,34.12595621819378,0.0064827738434167
2021-09-30,138.13404846191406,140.9455448156453,137.9192805517919,140.2426707272125,89056700,144.57314224243163,144.4701483154297,30.25501803590619,-0.0093116087268316
2021-10-01,139.25668334960938,139.5202648503588,135.80089824481317,138.52452409983053,94639600,144.03622589111328,144.39341064453126,37.34558762881676,0.0081271409923588
2021-10-04,135.8302001953125,138.82717957779718,134.98090012736012,138.3878720570302,98322000,143.2962562561035,144.21383209228514,27.49971315348114,-0.0246055203375378
2021-10-05,137.75332641601562,138.8564511470798,136.0449547897289,136.17186716291496,80861100,142.5357864379883,144.0643325805664,38.07283611808572,0.0141583110231584
2021-10-06,138.6221923828125,138.76861831784564,135.07853579678584,136.15237563977044,83221100,141.89588012695313,143.9754898071289,42.44821119677995,0.0063074046152098
2021-10-07,139.88143920898438,140.78932429837576,139.32500600229986,139.65691457441454,61732700,141.36970138549805,143.94672790527343,48.52953558691502,0.0090840204192874
2021-10-08,139.500732421875,140.7502829805711,139.16882381318146,140.60385709315267,58773200,141.07342147827148,143.89748474121097,46.80428332977926,-0.0027216390484844
